city,name,address,postal_code,latitude,longitude,open_weekend,open_holidays,open_time,close_time,fee_per_hour,cashless_payment,ev_charging,total_spots,source_url
Frankfurt am Main,Tiefgarage Baseler Platz,"Gutleutstraße 89, 60329 Frankfurt am Main",60329,,,FALSE,FALSE,0,24,2,TRUE,20,387,https://parkhausfrankfurt.de/de/parkhaeuser/Bahnhofsviertel/Baseler-Platz.html
Frankfurt am Main,Tiefgarage Hbf.-Süd,"Gutleutstr. 112-116, 60327 Frankfurt am Main",60327,,,FALSE,FALSE,0,24,2,TRUE,-,358,https://parkhausfrankfurt.de/de/parkhaeuser/Bahnhofsviertel/Hauptbahnhof-Sued.html
Frankfurt am Main,Tiefgarage Dom Römer,"Domstraße 1, 60311 Frankfurt am Main",60311,,,FALSE,FALSE,0,24,2,TRUE,46,480,https://parkhausfrankfurt.de/de/parkhaeuser/Dom-Roemer/Dom-Roemer.html
Frankfurt am Main,Parkhaus Hauptwache,"Kornmarkt 10 , 60311 Frankfurt am Main",60311,,,TRUE,TRUE,0,24,2.5,TRUE,16,303,https://parkhausfrankfurt.de/de/parkhaeuser/Dom-Roemer/Hauptwache.html
Frankfurt am Main,Parkhaus Konstabler,"Töngesgasse 8, 60313 Frankfurt am Main",60313,,,TRUE,TRUE,0,24,2,TRUE,40,809,https://parkhausfrankfurt.de/de/parkhaeuser/Dom-Roemer/Konstabler.html
Frankfurt am Main,Tiefgarage Westend,"Savignystraße 1, 60325 Frankfurt am Main",60325,,,TRUE,TRUE,0,24,2.5,TRUE,-,614,https://parkhausfrankfurt.de/de/parkhaeuser/Mainzer-Landstrasse/Westend.html
Frankfurt am Main,Parkhaus Am Gericht,"Klapperfeldstraße 8, 60313 Frankfurt am Main",60313,,,FALSE,FALSE,6,24,2,TRUE,40,680,https://parkhausfrankfurt.de/de/parkhaeuser/Zeil/Am-Gericht.html
Frankfurt am Main,Parkhaus Konrad-Adenauer-Straße,"Konrad-Adenauer-Straße 15, 60313 Frankfurt am Main",60313,,,TRUE,TRUE,0,24,2,TRUE,31,609,https://parkhausfrankfurt.de/de/parkhaeuser/Zeil/Konrad-Adenauer-Strasse.html
Frankfurt am Main,Parkhaus Alt-Sachsenhausen,"Walter-Kolb-Straße 16, 60594 Frankfurt am Main",60594,,,TRUE,TRUE,0,24,1,TRUE,19,408,https://parkhausfrankfurt.de/de/parkhaeuser/Ohne-Parkleitsystem/Alt-Sachsenhausen.html
Frankfurt am Main,Parkhaus Am Hauptbahnhof,"Mannheimer Straße 35, 60329 Frankfurt am Main. Die Einfahrt zum Parkhaus befindet sich in der",60329,,,TRUE,TRUE,0,24,3.5,TRUE,4,349,https://parkhausfrankfurt.de/de/parkhaeuser/Ohne-Parkleitsystem/Am-Hauptbahnhof.html
